"Key","Series","Value"
"2020-11-23","XA.SHA.03.03.J2J3.01.001",3217
"2020-11-24","XA.SHA.03.03.J2J3.01.001",3216
"2020-11-25","XA.SHA.03.03.J2J3.01.001",3213
"2020-11-26","XA.SHA.03.03.J2J3.01.001",3218
"2020-11-27","XA.SHA.03.03.J2J3.01.001",3218
"2020-11-28","XA.SHA.03.03.J2J3.01.001",3213
"2020-11-29","XA.SHA.03.03.J2J3.01.001",3212
"2020-11-30","XA.SHA.03.03.J2J3.01.001",3213
"2020-12-01","XA.SHA.03.03.J2J3.01.001",3214
"2020-12-02","XA.SHA.03.03.J2J3.01.001",3214
"2020-12-03","XA.SHA.03.03.J2J3.01.001",3212
"2020-12-04","XA.SHA.03.03.J2J3.01.001",3216
"2020-12-05","XA.SHA.03.03.J2J3.01.001",3214
"2020-12-06","XA.SHA.03.03.J2J3.01.001",3214
"2020-12-07","XA.SHA.03.03.J2J3.01.001",3214
"2020-12-08","XA.SHA.03.03.J2J3.01.001",3213
"2020-12-09","XA.SHA.03.03.J2J3.01.001",3213
"2020-12-10","XA.SHA.03.03.J2J3.01.001",3216
"2020-12-11","XA.SHA.03.03.J2J3.01.001",3216
"2020-12-12","XA.SHA.03.03.J2J3.01.001",3216
"2020-12-13","XA.SHA.03.03.J2J3.01.001",3212
"2020-12-14","XA.SHA.03.03.J2J3.01.001",3217
"2020-12-15","XA.SHA.03.03.J2J3.01.001",3220
"2020-12-16","XA.SHA.03.03.J2J3.01.001",3220
"2020-12-17","XA.SHA.03.03.J2J3.01.001",3221
"2020-12-18","XA.SHA.03.03.J2J3.01.001",3223
"2020-12-19","XA.SHA.03.03.J2J3.01.001",3225
"2020-12-20","XA.SHA.03.03.J2J3.01.001",3222
"2020-12-21","XA.SHA.03.03.J2J3.01.001",3220
"2020-12-22","XA.SHA.03.03.J2J3.01.001",3220
"2020-12-23","XA.SHA.03.03.J2J3.01.001",3221
"2020-12-24","XA.SHA.03.03.J2J3.01.001",3222
"2020-12-25","XA.SHA.03.03.J2J3.01.001",3223
"2020-12-26","XA.SHA.03.03.J2J3.01.001",3220
"2020-12-27","XA.SHA.03.03.J2J3.01.001",3209
"2020-12-28","XA.SHA.03.03.J2J3.01.001",3208
"2020-12-29","XA.SHA.03.03.J2J3.01.001",3209
"2020-12-30","XA.SHA.03.03.J2J3.01.001",3203
"2020-12-31","XA.SHA.03.03.J2J3.01.001",3205
"2021-01-01","XA.SHA.03.03.J2J3.01.001",3205
"2021-01-02","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-03","XA.SHA.03.03.J2J3.01.001",3202
"2021-01-04","XA.SHA.03.03.J2J3.01.001",3205
"2021-01-05","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-06","XA.SHA.03.03.J2J3.01.001",3199
"2021-01-07","XA.SHA.03.03.J2J3.01.001",3199
"2021-01-08","XA.SHA.03.03.J2J3.01.001",3199
"2021-01-09","XA.SHA.03.03.J2J3.01.001",3199
"2021-01-10","XA.SHA.03.03.J2J3.01.001",3199
"2021-01-11","XA.SHA.03.03.J2J3.01.001",3201
"2021-01-12","XA.SHA.03.03.J2J3.01.001",3200
"2021-01-13","XA.SHA.03.03.J2J3.01.001",3201
"2021-01-14","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-15","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-16","XA.SHA.03.03.J2J3.01.001",3200
"2021-01-17","XA.SHA.03.03.J2J3.01.001",3202
"2021-01-18","XA.SHA.03.03.J2J3.01.001",3201
"2021-01-19","XA.SHA.03.03.J2J3.01.001",3200
"2021-01-20","XA.SHA.03.03.J2J3.01.001",3204
"2021-01-21","XA.SHA.03.03.J2J3.01.001",3209
"2021-01-22","XA.SHA.03.03.J2J3.01.001",3206
"2021-01-23","XA.SHA.03.03.J2J3.01.001",3205
"2021-01-24","XA.SHA.03.03.J2J3.01.001",3202
"2021-01-25","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-26","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-27","XA.SHA.03.03.J2J3.01.001",3202
"2021-01-28","XA.SHA.03.03.J2J3.01.001",3202
"2021-01-29","XA.SHA.03.03.J2J3.01.001",3203
"2021-01-30","XA.SHA.03.03.J2J3.01.001",3207
"2021-01-31","XA.SHA.03.03.J2J3.01.001",3207
"2021-02-01","XA.SHA.03.03.J2J3.01.001",3205
"2021-02-02","XA.SHA.03.03.J2J3.01.001",3204
"2021-02-03","XA.SHA.03.03.J2J3.01.001",3203
"2021-02-04","XA.SHA.03.03.J2J3.01.001",3204
"2021-02-05","XA.SHA.03.03.J2J3.01.001",3206
"2021-02-06","XA.SHA.03.03.J2J3.01.001",3205
"2021-02-07","XA.SHA.03.03.J2J3.01.001",3202
"2021-02-08","XA.SHA.03.03.J2J3.01.001",3209
"2021-02-09","XA.SHA.03.03.J2J3.01.001",3210
"2021-02-10","XA.SHA.03.03.J2J3.01.001",3206
"2021-02-11","XA.SHA.03.03.J2J3.01.001",3204
"2021-02-12","XA.SHA.03.03.J2J3.01.001",3207
"2021-02-13","XA.SHA.03.03.J2J3.01.001",3205
"2021-02-14","XA.SHA.03.03.J2J3.01.001",3203
"2021-02-15","XA.SHA.03.03.J2J3.01.001",3201
"2021-02-16","XA.SHA.03.03.J2J3.01.001",3202
"2021-02-17","XA.SHA.03.03.J2J3.01.001",3203
"2021-02-18","XA.SHA.03.03.J2J3.01.001",3204
"2021-02-19","XA.SHA.03.03.J2J3.01.001",3203
"2021-02-20","XA.SHA.03.03.J2J3.01.001",3205
"2021-02-21","XA.SHA.03.03.J2J3.01.001",3204
"2021-02-22","XA.SHA.03.03.J2J3.01.001",3208
"2021-02-23","XA.SHA.03.03.J2J3.01.001",3214
"2021-02-24","XA.SHA.03.03.J2J3.01.001",3219
"2021-02-25","XA.SHA.03.03.J2J3.01.001",3219
"2021-02-26","XA.SHA.03.03.J2J3.01.001",3219
"2021-02-27","XA.SHA.03.03.J2J3.01.001",3215
"2021-02-28","XA.SHA.03.03.J2J3.01.001",3214
"2021-03-01","XA.SHA.03.03.J2J3.01.001",3212
"2021-03-02","XA.SHA.03.03.J2J3.01.001",3213
"2021-03-03","XA.SHA.03.03.J2J3.01.001",3218
"2021-03-04","XA.SHA.03.03.J2J3.01.001",3216
"2021-03-05","XA.SHA.03.03.J2J3.01.001",3215
"2021-03-06","XA.SHA.03.03.J2J3.01.001",3213
"2021-03-07","XA.SHA.03.03.J2J3.01.001",3212
"2021-03-08","XA.SHA.03.03.J2J3.01.001",3213
"2021-03-09","XA.SHA.03.03.J2J3.01.001",3212
"2021-03-10","XA.SHA.03.03.J2J3.01.001",3212
"2021-03-11","XA.SHA.03.03.J2J3.01.001",3214
"2021-03-12","XA.SHA.03.03.J2J3.01.001",3213
"2021-03-13","XA.SHA.03.03.J2J3.01.001",3212
"2021-03-14","XA.SHA.03.03.J2J3.01.001",3216
"2021-03-15","XA.SHA.03.03.J2J3.01.001",3216
"2021-03-16","XA.SHA.03.03.J2J3.01.001",3215
"2021-03-17","XA.SHA.03.03.J2J3.01.001",3216
"2021-03-18","XA.SHA.03.03.J2J3.01.001",3219
"2021-03-19","XA.SHA.03.03.J2J3.01.001",3218
"2021-03-20","XA.SHA.03.03.J2J3.01.001",3217
"2021-03-21","XA.SHA.03.03.J2J3.01.001",3217
"2021-03-22","XA.SHA.03.03.J2J3.01.001",3216
"2021-03-23","XA.SHA.03.03.J2J3.01.001",3220
"2021-03-24","XA.SHA.03.03.J2J3.01.001",3215
"2021-03-25","XA.SHA.03.03.J2J3.01.001",3220
"2021-03-26","XA.SHA.03.03.J2J3.01.001",0
"2021-03-27","XA.SHA.03.03.J2J3.01.001",0
"2021-03-28","XA.SHA.03.03.J2J3.01.001",0
"2021-03-29","XA.SHA.03.03.J2J3.01.001",0
"2021-03-30","XA.SHA.03.03.J2J3.01.001",0
"2021-03-31","XA.SHA.03.03.J2J3.01.001",0
"2021-04-01","XA.SHA.03.03.J2J3.01.001",0
"2021-04-02","XA.SHA.03.03.J2J3.01.001",0
"2021-04-03","XA.SHA.03.03.J2J3.01.001",0
"2021-04-04","XA.SHA.03.03.J2J3.01.001",0
"2021-04-05","XA.SHA.03.03.J2J3.01.001",0
"2021-04-06","XA.SHA.03.03.J2J3.01.001",0
"2021-04-07","XA.SHA.03.03.J2J3.01.001",0
"2021-04-08","XA.SHA.03.03.J2J3.01.001",0
"2021-04-09","XA.SHA.03.03.J2J3.01.001",0
"2021-04-10","XA.SHA.03.03.J2J3.01.001",0
"2021-04-11","XA.SHA.03.03.J2J3.01.001",0
"2021-04-12","XA.SHA.03.03.J2J3.01.001",0
"2021-04-13","XA.SHA.03.03.J2J3.01.001",0
"2021-04-14","XA.SHA.03.03.J2J3.01.001",3231
"2021-04-15","XA.SHA.03.03.J2J3.01.001",3235
"2021-04-16","XA.SHA.03.03.J2J3.01.001",3233
"2021-04-17","XA.SHA.03.03.J2J3.01.001",3231
"2021-04-18","XA.SHA.03.03.J2J3.01.001",3232
"2021-04-19","XA.SHA.03.03.J2J3.01.001",3234
"2021-04-20","XA.SHA.03.03.J2J3.01.001",3233
"2021-04-21","XA.SHA.03.03.J2J3.01.001",3238
"2021-04-22","XA.SHA.03.03.J2J3.01.001",3236
"2021-04-23","XA.SHA.03.03.J2J3.01.001",3239
"2021-04-24","XA.SHA.03.03.J2J3.01.001",3237
"2021-04-25","XA.SHA.03.03.J2J3.01.001",3236
"2021-04-26","XA.SHA.03.03.J2J3.01.001",3240
"2021-04-27","XA.SHA.03.03.J2J3.01.001",3244
"2021-04-28","XA.SHA.03.03.J2J3.01.001",3244
"2021-04-29","XA.SHA.03.03.J2J3.01.001",3242
"2021-04-30","XA.SHA.03.03.J2J3.01.001",3241
"2021-05-01","XA.SHA.03.03.J2J3.01.001",3240
"2021-05-02","XA.SHA.03.03.J2J3.01.001",3240
"2021-05-03","XA.SHA.03.03.J2J3.01.001",3239
"2021-05-04","XA.SHA.03.03.J2J3.01.001",3241
"2021-05-05","XA.SHA.03.03.J2J3.01.001",3240
"2021-05-06","XA.SHA.03.03.J2J3.01.001",3237
"2021-05-07","XA.SHA.03.03.J2J3.01.001",3240
"2021-05-08","XA.SHA.03.03.J2J3.01.001",3240
"2021-05-09","XA.SHA.03.03.J2J3.01.001",3242
"2021-05-10","XA.SHA.03.03.J2J3.01.001",3248
"2021-05-11","XA.SHA.03.03.J2J3.01.001",3245
"2021-05-12","XA.SHA.03.03.J2J3.01.001",3246
"2021-05-13","XA.SHA.03.03.J2J3.01.001",3247
"2021-05-14","XA.SHA.03.03.J2J3.01.001",3257
"2021-05-15","XA.SHA.03.03.J2J3.01.001",3247
"2021-05-16","XA.SHA.03.03.J2J3.01.001",3247
"2021-05-17","XA.SHA.03.03.J2J3.01.001",3252
"2021-05-18","XA.SHA.03.03.J2J3.01.001",3252
"2021-05-19","XA.SHA.03.03.J2J3.01.001",3253
"2021-05-20","XA.SHA.03.03.J2J3.01.001",3253
"2021-05-21","XA.SHA.03.03.J2J3.01.001",3250
"2021-05-22","XA.SHA.03.03.J2J3.01.001",3250
"2021-05-23","XA.SHA.03.03.J2J3.01.001",3253
"2021-05-24","XA.SHA.03.03.J2J3.01.001",3252
"2021-05-25","XA.SHA.03.03.J2J3.01.001",3255
"2021-05-26","XA.SHA.03.03.J2J3.01.001",3250
"2021-05-27","XA.SHA.03.03.J2J3.01.001",3247
"2021-05-28","XA.SHA.03.03.J2J3.01.001",3247
"2021-05-29","XA.SHA.03.03.J2J3.01.001",3243
"2021-05-30","XA.SHA.03.03.J2J3.01.001",3242
"2021-05-31","XA.SHA.03.03.J2J3.01.001",3243
"2021-06-01","XA.SHA.03.03.J2J3.01.001",3240
"2021-06-02","XA.SHA.03.03.J2J3.01.001",3243
"2021-06-03","XA.SHA.03.03.J2J3.01.001",3243
"2021-06-04","XA.SHA.03.03.J2J3.01.001",3247
"2021-06-05","XA.SHA.03.03.J2J3.01.001",3243
"2021-06-06","XA.SHA.03.03.J2J3.01.001",3246
"2021-06-07","XA.SHA.03.03.J2J3.01.001",3251
"2021-06-08","XA.SHA.03.03.J2J3.01.001",3247
"2021-06-09","XA.SHA.03.03.J2J3.01.001",3248
"2021-06-10","XA.SHA.03.03.J2J3.01.001",3256
"2021-06-11","XA.SHA.03.03.J2J3.01.001",3259
"2021-06-12","XA.SHA.03.03.J2J3.01.001",3255
"2021-06-13","XA.SHA.03.03.J2J3.01.001",3254
"2021-06-14","XA.SHA.03.03.J2J3.01.001",3259
"2021-06-15","XA.SHA.03.03.J2J3.01.001",3260
"2021-06-16","XA.SHA.03.03.J2J3.01.001",3252
"2021-06-17","XA.SHA.03.03.J2J3.01.001",3259
"2021-06-18","XA.SHA.03.03.J2J3.01.001",3259
"2021-06-19","XA.SHA.03.03.J2J3.01.001",3261
"2021-06-20","XA.SHA.03.03.J2J3.01.001",3262
"2021-06-21","XA.SHA.03.03.J2J3.01.001",3257
"2021-06-22","XA.SHA.03.03.J2J3.01.001",3259
"2021-06-23","XA.SHA.03.03.J2J3.01.001",0
"2021-06-24","XA.SHA.03.03.J2J3.01.001",0
"2021-06-25","XA.SHA.03.03.J2J3.01.001",0
"2021-06-26","XA.SHA.03.03.J2J3.01.001",0
"2021-06-27","XA.SHA.03.03.J2J3.01.001",0
"2021-06-28","XA.SHA.03.03.J2J3.01.001",0
"2021-06-29","XA.SHA.03.03.J2J3.01.001",0
"2021-06-30","XA.SHA.03.03.J2J3.01.001",3244
"2021-07-01","XA.SHA.03.03.J2J3.01.001",3261
"2021-07-02","XA.SHA.03.03.J2J3.01.001",3253
"2021-07-03","XA.SHA.03.03.J2J3.01.001",3238
"2021-07-04","XA.SHA.03.03.J2J3.01.001",3264
"2021-07-05","XA.SHA.03.03.J2J3.01.001",3245
"2021-07-06","XA.SHA.03.03.J2J3.01.001",3262
"2021-07-07","XA.SHA.03.03.J2J3.01.001",3267
"2021-07-08","XA.SHA.03.03.J2J3.01.001",3268
"2021-07-09","XA.SHA.03.03.J2J3.01.001",3238
"2021-07-10","XA.SHA.03.03.J2J3.01.001",3238
"2021-07-11","XA.SHA.03.03.J2J3.01.001",3238
"2021-07-12","XA.SHA.03.03.J2J3.01.001",3245
"2021-07-13","XA.SHA.03.03.J2J3.01.001",3254
"2021-07-14","XA.SHA.03.03.J2J3.01.001",3245
"2021-07-15","XA.SHA.03.03.J2J3.01.001",3256
"2021-07-16","XA.SHA.03.03.J2J3.01.001",3248
"2021-07-17","XA.SHA.03.03.J2J3.01.001",3251
"2021-07-18","XA.SHA.03.03.J2J3.01.001",3258
"2021-07-19","XA.SHA.03.03.J2J3.01.001",3272
"2021-07-20","XA.SHA.03.03.J2J3.01.001",3265
"2021-07-21","XA.SHA.03.03.J2J3.01.001",3262
"2021-07-22","XA.SHA.03.03.J2J3.01.001",3247
"2021-07-23","XA.SHA.03.03.J2J3.01.001",3244
"2021-07-24","XA.SHA.03.03.J2J3.01.001",3270
"2021-07-25","XA.SHA.03.03.J2J3.01.001",3267
"2021-07-26","XA.SHA.03.03.J2J3.01.001",3265
"2021-07-27","XA.SHA.03.03.J2J3.01.001",3265
"2021-07-28","XA.SHA.03.03.J2J3.01.001",3269
"2021-07-29","XA.SHA.03.03.J2J3.01.001",3264
"2021-07-30","XA.SHA.03.03.J2J3.01.001",3261
"2021-07-31","XA.SHA.03.03.J2J3.01.001",3263
"2021-08-01","XA.SHA.03.03.J2J3.01.001",3269
"2021-08-02","XA.SHA.03.03.J2J3.01.001",3255
"2021-08-03","XA.SHA.03.03.J2J3.01.001",3258
"2021-08-04","XA.SHA.03.03.J2J3.01.001",3278
"2021-08-05","XA.SHA.03.03.J2J3.01.001",3272
"2021-08-06","XA.SHA.03.03.J2J3.01.001",3275
"2021-08-07","XA.SHA.03.03.J2J3.01.001",3266
"2021-08-08","XA.SHA.03.03.J2J3.01.001",3249
"2021-08-09","XA.SHA.03.03.J2J3.01.001",3250
"2021-08-10","XA.SHA.03.03.J2J3.01.001",3274
"2021-08-11","XA.SHA.03.03.J2J3.01.001",3247
"2021-08-12","XA.SHA.03.03.J2J3.01.001",3251
"2021-08-13","XA.SHA.03.03.J2J3.01.001",3255
"2021-08-14","XA.SHA.03.03.J2J3.01.001",3253
"2021-08-15","XA.SHA.03.03.J2J3.01.001",3265
"2021-08-16","XA.SHA.03.03.J2J3.01.001",3271
"2021-08-17","XA.SHA.03.03.J2J3.01.001",3245
"2021-08-18","XA.SHA.03.03.J2J3.01.001",3257
"2021-08-19","XA.SHA.03.03.J2J3.01.001",3247
"2021-08-20","XA.SHA.03.03.J2J3.01.001",3246
"2021-08-21","XA.SHA.03.03.J2J3.01.001",3248
"2021-08-22","XA.SHA.03.03.J2J3.01.001",3261
"2021-08-23","XA.SHA.03.03.J2J3.01.001",3249
"2021-08-24","XA.SHA.03.03.J2J3.01.001",3250
"2021-08-25","XA.SHA.03.03.J2J3.01.001",3253
"2021-08-26","XA.SHA.03.03.J2J3.01.001",3278
"2021-08-27","XA.SHA.03.03.J2J3.01.001",3260
"2021-08-28","XA.SHA.03.03.J2J3.01.001",3271
"2021-08-29","XA.SHA.03.03.J2J3.01.001",3267
"2021-08-30","XA.SHA.03.03.J2J3.01.001",3270
"2021-08-31","XA.SHA.03.03.J2J3.01.001",3265
"2021-09-01","XA.SHA.03.03.J2J3.01.001",3263
"2021-09-02","XA.SHA.03.03.J2J3.01.001",3259
"2021-09-03","XA.SHA.03.03.J2J3.01.001",3262
"2021-09-04","XA.SHA.03.03.J2J3.01.001",3264
"2021-09-05","XA.SHA.03.03.J2J3.01.001",3268
"2021-09-06","XA.SHA.03.03.J2J3.01.001",3263
"2021-09-07","XA.SHA.03.03.J2J3.01.001",3259
"2021-09-08","XA.SHA.03.03.J2J3.01.001",3262
"2021-09-09","XA.SHA.03.03.J2J3.01.001",3257
"2021-09-10","XA.SHA.03.03.J2J3.01.001",3258
"2021-09-11","XA.SHA.03.03.J2J3.01.001",3252
"2021-09-12","XA.SHA.03.03.J2J3.01.001",3260
"2021-09-13","XA.SHA.03.03.J2J3.01.001",3254
"2021-09-14","XA.SHA.03.03.J2J3.01.001",3253
"2021-09-15","XA.SHA.03.03.J2J3.01.001",3252
"2021-09-16","XA.SHA.03.03.J2J3.01.001",3251
"2021-09-17","XA.SHA.03.03.J2J3.01.001",3258
"2021-09-18","XA.SHA.03.03.J2J3.01.001",3257
"2021-09-19","XA.SHA.03.03.J2J3.01.001",3263
"2021-09-20","XA.SHA.03.03.J2J3.01.001",3264
"2021-09-21","XA.SHA.03.03.J2J3.01.001",3262
"2021-09-22","XA.SHA.03.03.J2J3.01.001",3259
"2021-09-23","XA.SHA.03.03.J2J3.01.001",3261
"2021-09-24","XA.SHA.03.03.J2J3.01.001",3276
"2021-09-25","XA.SHA.03.03.J2J3.01.001",3277
"2021-09-26","XA.SHA.03.03.J2J3.01.001",3269
"2021-09-27","XA.SHA.03.03.J2J3.01.001",3262
"2021-09-28","XA.SHA.03.03.J2J3.01.001",3261
"2021-09-29","XA.SHA.03.03.J2J3.01.001",3265
"2021-09-30","XA.SHA.03.03.J2J3.01.001",3275
"2020-10-01","XA.SHA.03.03.J2J3.01.002",3376
"2020-10-02","XA.SHA.03.03.J2J3.01.002",3377
"2020-10-03","XA.SHA.03.03.J2J3.01.002",3376
"2020-10-04","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-05","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-06","XA.SHA.03.03.J2J3.01.002",3376
"2020-10-07","XA.SHA.03.03.J2J3.01.002",0
"2020-10-08","XA.SHA.03.03.J2J3.01.002",3386
"2020-10-09","XA.SHA.03.03.J2J3.01.002",3387
"2020-10-10","XA.SHA.03.03.J2J3.01.002",3384
"2020-10-11","XA.SHA.03.03.J2J3.01.002",3384
"2020-10-12","XA.SHA.03.03.J2J3.01.002",3383
"2020-10-13","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-14","XA.SHA.03.03.J2J3.01.002",3381
"2020-10-15","XA.SHA.03.03.J2J3.01.002",3381
"2020-10-16","XA.SHA.03.03.J2J3.01.002",3381
"2020-10-17","XA.SHA.03.03.J2J3.01.002",3380
"2020-10-18","XA.SHA.03.03.J2J3.01.002",3382
"2020-10-19","XA.SHA.03.03.J2J3.01.002",3376
"2020-10-20","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-21","XA.SHA.03.03.J2J3.01.002",3383
"2020-10-22","XA.SHA.03.03.J2J3.01.002",3381
"2020-10-23","XA.SHA.03.03.J2J3.01.002",3379
"2020-10-24","XA.SHA.03.03.J2J3.01.002",3375
"2020-10-25","XA.SHA.03.03.J2J3.01.002",3383
"2020-10-26","XA.SHA.03.03.J2J3.01.002",3380
"2020-10-27","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-28","XA.SHA.03.03.J2J3.01.002",3375
"2020-10-29","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-30","XA.SHA.03.03.J2J3.01.002",3378
"2020-10-31","XA.SHA.03.03.J2J3.01.002",3378
"2020-11-01","XA.SHA.03.03.J2J3.01.002",3376
"2020-11-02","XA.SHA.03.03.J2J3.01.002",3379
"2020-11-03","XA.SHA.03.03.J2J3.01.002",3383
"2020-11-04","XA.SHA.03.03.J2J3.01.002",3379
"2020-11-05","XA.SHA.03.03.J2J3.01.002",3381
"2020-11-06","XA.SHA.03.03.J2J3.01.002",3382
"2020-11-07","XA.SHA.03.03.J2J3.01.002",3382
"2020-11-08","XA.SHA.03.03.J2J3.01.002",3383
"2020-11-09","XA.SHA.03.03.J2J3.01.002",3382
"2020-11-10","XA.SHA.03.03.J2J3.01.002",3382
"2020-11-11","XA.SHA.03.03.J2J3.01.002",3382
"2020-11-12","XA.SHA.03.03.J2J3.01.002",3385
"2020-11-13","XA.SHA.03.03.J2J3.01.002",3386
"2020-11-14","XA.SHA.03.03.J2J3.01.002",3381
"2020-11-15","XA.SHA.03.03.J2J3.01.002",3385
"2020-11-16","XA.SHA.03.03.J2J3.01.002",3383
"2020-11-17","XA.SHA.03.03.J2J3.01.002",3394
"2020-11-18","XA.SHA.03.03.J2J3.01.002",3397
"2020-11-19","XA.SHA.03.03.J2J3.01.002",3391
"2020-11-20","XA.SHA.03.03.J2J3.01.002",3395
"2020-11-21","XA.SHA.03.03.J2J3.01.002",3391
"2020-11-22","XA.SHA.03.03.J2J3.01.002",3390
"2020-11-23","XA.SHA.03.03.J2J3.01.002",3390
"2020-11-24","XA.SHA.03.03.J2J3.01.002",3390
"2020-11-25","XA.SHA.03.03.J2J3.01.002",3390
"2020-11-26","XA.SHA.03.03.J2J3.01.002",3391
"2020-11-27","XA.SHA.03.03.J2J3.01.002",3389
"2020-11-28","XA.SHA.03.03.J2J3.01.002",3387
"2020-11-29","XA.SHA.03.03.J2J3.01.002",3391
"2020-11-30","XA.SHA.03.03.J2J3.01.002",3390
"2020-12-01","XA.SHA.03.03.J2J3.01.002",3390
"2020-12-02","XA.SHA.03.03.J2J3.01.002",3393
"2020-12-03","XA.SHA.03.03.J2J3.01.002",3391
"2020-12-04","XA.SHA.03.03.J2J3.01.002",3394
"2020-12-05","XA.SHA.03.03.J2J3.01.002",3389
"2020-12-06","XA.SHA.03.03.J2J3.01.002",3391
"2020-12-07","XA.SHA.03.03.J2J3.01.002",3390
"2020-12-08","XA.SHA.03.03.J2J3.01.002",3388
"2020-12-09","XA.SHA.03.03.J2J3.01.002",3388
"2020-12-10","XA.SHA.03.03.J2J3.01.002",3395
"2020-12-11","XA.SHA.03.03.J2J3.01.002",3391
"2020-12-12","XA.SHA.03.03.J2J3.01.002",3391
"2020-12-13","XA.SHA.03.03.J2J3.01.002",3389
"2020-12-14","XA.SHA.03.03.J2J3.01.002",3391
"2020-12-15","XA.SHA.03.03.J2J3.01.002",3390
"2020-12-16","XA.SHA.03.03.J2J3.01.002",3390
"2020-12-17","XA.SHA.03.03.J2J3.01.002",3393
"2020-12-18","XA.SHA.03.03.J2J3.01.002",3397
"2020-12-19","XA.SHA.03.03.J2J3.01.002",3398
"2020-12-20","XA.SHA.03.03.J2J3.01.002",3397
"2020-12-21","XA.SHA.03.03.J2J3.01.002",3396
"2020-12-22","XA.SHA.03.03.J2J3.01.002",3397
"2020-12-23","XA.SHA.03.03.J2J3.01.002",3399
"2020-12-24","XA.SHA.03.03.J2J3.01.002",3403
"2020-12-25","XA.SHA.03.03.J2J3.01.002",3402
